date,datetime,temp,precip,windspeed,winddir,visibility,cloudcover,conditions
2024-12-01,2024-12-01T00:00:00,7.9,0.0,3.6,360.0,9.0,1.4,Clear
2024-12-01,2024-12-01T01:00:00,6.9,0.0,3.6,10.0,8.0,0.6,Clear
2024-12-01,2024-12-01T02:00:00,5.9,0.0,0.0,0.0,6.0,1.1,Clear
2024-12-01,2024-12-01T03:00:00,5.9,0.0,3.6,340.0,6.0,31.1,Partially cloudy
2024-12-01,2024-12-01T04:00:00,5.0,0.0,0.0,0.0,7.0,30.0,Partially cloudy
2024-12-01,2024-12-01T05:00:00,4.9,0.0,5.4,340.0,8.0,44.8,Partially cloudy
2024-12-01,2024-12-01T06:00:00,4.0,0.0,3.6,360.0,6.0,54.1,Partially cloudy
2024-12-01,2024-12-01T07:00:00,4.0,0.0,5.4,10.0,8.0,82.9,Partially cloudy
2024-12-01,2024-12-01T08:00:00,5.0,0.0,0.0,0.0,9.0,88.4,Partially cloudy
2024-12-01,2024-12-01T09:00:00,5.0,0.0,3.6,2.0,9.0,25.0,Partially cloudy
2024-12-01,2024-12-01T10:00:00,7.0,0.0,0.0,0.0,9.0,25.0,Partially cloudy
2024-12-01,2024-12-01T11:00:00,8.0,0.1,5.4,330.0,9.0,97.5,"Rain, Overcast"
2024-12-01,2024-12-01T12:00:00,9.0,0.0,5.4,360.0,10.0,95.9,Overcast
2024-12-01,2024-12-01T13:00:00,13.0,0.0,3.6,230.0,10.0,95.5,Overcast
2024-12-01,2024-12-01T14:00:00,14.9,0.0,3.6,110.0,10.0,98.9,Overcast
2024-12-01,2024-12-01T15:00:00,15.9,0.0,1.8,87.9,10.0,25.0,Partially cloudy
2024-12-01,2024-12-01T16:00:00,16.9,0.0,0.0,360.0,10.0,25.0,Partially cloudy
2024-12-01,2024-12-01T17:00:00,15.0,0.0,3.6,80.0,10.0,81.4,Partially cloudy
2024-12-01,2024-12-01T18:00:00,14.0,0.0,5.4,110.0,9.0,78.7,Partially cloudy
2024-12-01,2024-12-01T19:00:00,12.9,0.0,0.0,360.0,9.0,87.3,Partially cloudy
2024-12-01,2024-12-01T20:00:00,12.9,0.0,5.4,10.0,9.0,84.2,Partially cloudy
2024-12-01,2024-12-01T21:00:00,12.9,0.0,5.4,210.0,9.0,89.9,Partially cloudy
2024-12-01,2024-12-01T22:00:00,10.9,0.0,5.4,220.0,9.0,96.1,Overcast
2024-12-01,2024-12-01T23:00:00,10.9,0.0,7.6,330.0,8.0,94.9,Overcast
2024-12-02,2024-12-02T00:00:00,10.9,0.0,3.6,353.0,8.0,94.9,Overcast
2024-12-02,2024-12-02T01:00:00,10.0,0.0,0.0,360.0,7.0,50.0,Partially cloudy
2024-12-02,2024-12-02T02:00:00,10.0,0.0,13.0,330.0,7.0,25.0,Partially cloudy
2024-12-02,2024-12-02T03:00:00,10.0,0.023,5.4,360.0,7.0,25.0,"Rain, Partially cloudy"
2024-12-02,2024-12-02T04:00:00,9.9,0.0,0.0,360.0,7.0,25.0,Partially cloudy
2024-12-02,2024-12-02T05:00:00,9.9,0.0,1.8,150.0,7.0,25.0,Partially cloudy
2024-12-02,2024-12-02T06:00:00,10.9,0.003,5.4,50.0,7.0,54.4,"Rain, Partially cloudy"
2024-12-02,2024-12-02T07:00:00,9.0,0.0,5.4,310.0,8.0,39.7,Partially cloudy
2024-12-02,2024-12-02T08:00:00,8.0,0.0,5.4,350.0,8.0,50.0,Partially cloudy
2024-12-02,2024-12-02T09:00:00,10.9,0.0,11.2,300.0,9.0,50.0,Partially cloudy
2024-12-02,2024-12-02T10:00:00,10.9,0.0,11.2,130.0,9.0,50.0,Partially cloudy
2024-12-02,2024-12-02T11:00:00,11.0,0.0,1.8,13.0,9.0,50.0,Partially cloudy
2024-12-02,2024-12-02T12:00:00,12.0,0.0,5.4,350.0,10.0,50.0,Partially cloudy
2024-12-02,2024-12-02T13:00:00,14.0,0.049,7.6,210.0,10.0,50.0,"Rain, Partially cloudy"
2024-12-02,2024-12-02T14:00:00,15.0,0.0,3.6,276.0,10.0,50.0,Partially cloudy
2024-12-02,2024-12-02T15:00:00,15.9,0.003,1.8,51.0,10.0,25.0,"Rain, Partially cloudy"
2024-12-02,2024-12-02T16:00:00,15.9,0.0,0.0,360.0,10.0,50.0,Partially cloudy
2024-12-02,2024-12-02T17:00:00,15.9,0.0,0.0,360.0,10.0,25.0,Partially cloudy
2024-12-02,2024-12-02T18:00:00,13.9,0.0,0.0,360.0,10.0,25.0,Partially cloudy
2024-12-02,2024-12-02T19:00:00,11.0,0.173,0.0,360.0,10.0,52.5,"Rain, Partially cloudy"
2024-12-02,2024-12-02T20:00:00,11.0,0.0,5.4,340.0,10.0,50.0,Partially cloudy
2024-12-02,2024-12-02T21:00:00,10.0,0.0,5.4,10.0,10.0,60.0,Partially cloudy
2024-12-02,2024-12-02T22:00:00,9.9,0.0,0.0,360.0,10.0,50.0,Partially cloudy
2024-12-02,2024-12-02T23:00:00,9.0,0.0,7.6,320.0,10.0,50.0,Partially cloudy
2024-12-03,2024-12-03T00:00:00,8.0,0.0,0.0,360.0,10.0,0.0,Clear
2024-12-03,2024-12-03T01:00:00,7.0,0.0,7.6,360.0,10.0,0.0,Clear
2024-12-03,2024-12-03T02:00:00,6.0,0.0,5.4,330.0,10.0,0.0,Clear
2024-12-03,2024-12-03T03:00:00,6.0,0.0,5.4,360.0,10.0,0.0,Clear
2024-12-03,2024-12-03T04:00:00,5.0,0.0,0.0,360.0,9.0,1.4,Clear
2024-12-03,2024-12-03T05:00:00,4.9,0.0,3.6,360.0,10.0,0.0,Clear
2024-12-03,2024-12-03T06:00:00,4.0,0.0,0.0,360.0,9.0,1.4,Clear
2024-12-03,2024-12-03T07:00:00,4.0,0.0,3.6,360.0,9.0,0.9,Clear
2024-12-03,2024-12-03T08:00:00,4.0,0.0,3.6,340.0,10.0,25.0,Partially cloudy
