iter	Logloss
0	0.6853009235
1	0.6784903217
2	0.672317893
3	0.6671329886
4	0.6621403041
5	0.658121429
6	0.6542912799
7	0.6507434453
8	0.6480971319
9	0.6452121262
10	0.6428440063
11	0.6407118141
12	0.6388718943
13	0.6372950744
14	0.6360341522
15	0.6344389841
16	0.6333079216
17	0.6321507058
18	0.6312116852
19	0.6302032736
20	0.6293711072
21	0.6285758877
22	0.6279024585
23	0.627238283
24	0.6266678374
25	0.6258772788
26	0.6253289606
27	0.6245840773
28	0.6239010418
29	0.6235196435
30	0.6230259971
31	0.6226579426
32	0.6222027667
33	0.621630793
34	0.6213307868
35	0.62098792
36	0.6206583222
37	0.6202831089
38	0.6197973695
39	0.6196284484
40	0.6194176215
41	0.6190416554
42	0.6187941369
43	0.6186122397
44	0.6183969386
45	0.6181540805
46	0.6179369724
47	0.6177822389
48	0.6175541743
49	0.6172853854
50	0.6169172454
51	0.6166944475
52	0.6163916731
53	0.6161014567
54	0.6159307101
55	0.6156975102
56	0.6155626586
57	0.6154063643
58	0.6152829127
59	0.6151734449
60	0.6150300536
61	0.6148938038
62	0.6147334467
63	0.6145402373
64	0.6143207833
65	0.614232991
66	0.6140594836
67	0.6139604356
68	0.6138466074
69	0.6136660515
70	0.6135071883
71	0.6133812617
72	0.6132901416
73	0.6131452742
74	0.6130176612
75	0.6129578761
76	0.6128417941
77	0.6127185104
78	0.6126115729
79	0.6124644246
80	0.6123301693
81	0.6122177516
82	0.6121018369
83	0.6120155222
84	0.6119138486
85	0.6118343339
86	0.6117803737
87	0.6117006481
88	0.6116674072
89	0.6116023515
90	0.6115262664
91	0.6114536713
92	0.6113340694
93	0.6112483414
94	0.6111248116
95	0.6110263424
96	0.6108842797
97	0.6108325845
98	0.6106619054
99	0.6105027699
100	0.6104074869
101	0.6103339164
102	0.6102664985
103	0.610143972
104	0.6100514469
105	0.6099518456
106	0.609881963
107	0.6097978457
108	0.6097555941
109	0.6096728489
110	0.6095971634
111	0.6095773981
112	0.609487385
113	0.6094366888
114	0.6093741393
115	0.6092502208
116	0.6091688907
117	0.6091055944
118	0.6090370433
119	0.6089966099
120	0.608937071
121	0.6088682251
122	0.6087560003
123	0.6086845961
124	0.608598915
125	0.6084710576
126	0.608415353
127	0.6082846425
128	0.6081554124
129	0.6081171233
130	0.6080146538
131	0.607973314
132	0.6079080676
133	0.6077681585
134	0.6076437525
135	0.6075372866
136	0.6074431343
137	0.6073657941
138	0.6072534853
139	0.6071333253
140	0.6070358258
141	0.6069459907
142	0.606900483
143	0.6068749061
144	0.6067577518
145	0.6066573729
146	0.6065727072
147	0.6065285641
148	0.6064522661
149	0.606355674
150	0.6062336169
151	0.6061440839
152	0.6060732777
153	0.6060021539
154	0.6058736811
155	0.6057211407
156	0.6055820338
157	0.6054756747
158	0.6053541807
159	0.605302975
160	0.605215637
161	0.605131992
162	0.605034904
163	0.6049789424
164	0.6048585384
165	0.6047639925
166	0.6046866709
167	0.6046338211
168	0.6045312144
169	0.6044029426
170	0.6043296591
171	0.6042254475
172	0.6041353431
173	0.6040681829
174	0.6040078995
175	0.6039502145
176	0.6038393856
177	0.6037852916
178	0.6037074438
179	0.6035817756
180	0.6035173268
181	0.6034303122
182	0.6033698864
183	0.6033147729
184	0.6032657948
185	0.6031926557
186	0.6030739486
187	0.6030231916
188	0.6029508878
189	0.6028577612
190	0.6027789924
191	0.6027455293
192	0.6026265014
193	0.6026041995
194	0.6024996229
195	0.6024692271
196	0.6024258792
197	0.6023601326
198	0.6023063443
199	0.6022460909
200	0.6021541373
201	0.6021162701
202	0.6020738219
203	0.6020068794
204	0.6018955922
205	0.6018569585
206	0.6017598611
207	0.6016773898
208	0.6016339737
209	0.6015569001
210	0.6014978773
211	0.6013978371
212	0.6012998062
213	0.6012085397
214	0.6011283743
215	0.6010386933
216	0.6009961346
217	0.6009336126
218	0.6008586381
219	0.6008001525
220	0.6007746793
221	0.6006563018
222	0.6006362962
223	0.6005917939
224	0.6004904306
225	0.6004163268
226	0.600329304
227	0.6002753834
