iter	Passed	Remaining
0	92	33022
1	192	34239
2	272	32297
3	356	31546
4	438	30927
5	520	30514
6	603	30260
7	683	29906
8	767	29758
9	861	29978
10	968	30545
11	1068	30801
12	1149	30511
13	1278	31426
14	1369	31311
15	1456	31130
16	1552	31139
17	1646	31101
18	1747	31176
19	1838	31072
20	1934	31047
21	2055	31395
22	2151	31333
23	2249	31300
24	2342	31199
25	2439	31155
26	2527	30983
27	2628	30974
28	2717	30828
29	2811	30736
30	2907	30669
31	2998	30542
32	3085	30383
33	3190	30405
34	3297	30430
35	3394	30359
36	3478	30180
37	3570	30069
38	3660	29939
39	3772	29993
40	3863	29870
41	3988	30011
42	4084	29918
43	4173	29783
44	4266	29679
45	4360	29578
46	4453	29470
47	4545	29353
48	4633	29221
49	4730	29140
50	4826	29051
51	4922	28969
52	5018	28878
53	5112	28784
54	5201	28655
55	5303	28601
56	5393	28481
57	5498	28440
58	5586	28313
59	5679	28210
60	5776	28125
61	5863	27994
62	5952	27870
63	6047	27778
64	6153	27736
65	6253	27666
66	6346	27564
67	6440	27464
68	6536	27378
69	6639	27318
70	6736	27230
71	6852	27221
72	6963	27185
73	7051	27063
74	7145	26963
75	7245	26884
76	7353	26834
77	7448	26739
78	7545	26648
79	7638	26543
80	7745	26489
81	7855	26439
82	7951	26345
83	8054	26274
84	8166	26230
85	8272	26163
86	8378	26098
87	8473	25997
88	8568	25897
89	8661	25792
90	8752	25681
91	8863	25626
92	8957	25525
93	9050	25418
94	9145	25317
95	9236	25208
96	9334	25115
97	9423	25000
98	9514	24892
99	9621	24822
100	9719	24732
101	9830	24673
102	9920	24561
103	10019	24470
104	10106	24352
105	10193	24233
106	10290	24138
107	10371	24009
108	10458	23891
109	10578	23850
110	10664	23729
111	10751	23615
112	10835	23493
113	10932	23399
114	11016	23277
115	11099	23155
116	11183	23037
117	11269	22921
118	11360	22815
119	11447	22704
120	11543	22610
121	11627	22493
122	11730	22411
123	11819	22305
124	11903	22188
125	11988	22074
126	12083	21978
127	12177	21882
128	12304	21843
129	12398	21744
130	12495	21652
131	12598	21570
132	12703	21490
133	12787	21376
134	12876	21270
135	12966	21166
136	13061	21070
137	13158	20978
138	13242	20864
139	13326	20750
140	13404	20629
141	13488	20518
142	13591	20435
143	13681	20331
144	13763	20218
145	13846	20105
146	13938	20006
147	14024	19899
148	14120	19806
149	14216	19712
150	14327	19640
151	14416	19537
152	14532	19472
153	14616	19362
154	14700	19253
155	14787	19148
156	14888	19060
157	14993	18979
158	15093	18890
159	15180	18786
160	15292	18711
161	15386	18615
162	15477	18516
163	15586	18437
164	15668	18327
165	15773	18244
166	15865	18146
167	15963	18054
168	16050	17949
169	16137	17846
170	16222	17740
171	16321	17649
172	16405	17543
173	16494	17442
174	16581	17339
175	16682	17251
176	16774	17153
177	16879	17068
178	16977	16977
179	17061	16871
180	17150	16771
181	17235	16667
182	17321	16564
183	17409	16463
184	17514	16378
185	17612	16286
186	17697	16183
187	17790	16086
188	17885	15992
189	17979	15898
190	18065	15795
191	18163	15703
192	18262	15612
193	18354	15516
194	18439	15413
195	18527	15313
196	18614	15213
197	18703	15113
198	18791	15014
199	18885	14919
200	18984	14828
201	19109	14758
202	19216	14672
203	19316	14582
204	19419	14493
205	19513	14398
206	19606	14302
207	19697	14205
208	19798	14114
209	19891	14018
210	19971	13913
211	20064	13818
212	20153	13719
213	20243	13621
214	20326	13519
215	20427	13429
216	20520	13333
217	20603	13231
218	20706	13142
219	20792	13042
220	20879	12943
221	20981	12853
222	21077	12759
223	21170	12664
224	21254	12564
225	21372	12483
226	21469	12389
227	21575	12301
228	21666	12205
229	21753	12106
230	21838	12006
231	21924	11907
232	22006	11806
233	22102	11712
234	22195	11617
235	22279	11517
236	22368	11420
237	22479	11334
238	22566	11236
239	22662	11142
240	22754	11046
241	22849	10952
242	22942	10857
243	23038	10763
244	23130	10668
245	23219	10571
246	23319	10479
247	23406	10381
248	23491	10283
249	23588	10190
250	23679	10094
251	23768	9997
252	23855	9900
253	23954	9807
254	24052	9715
255	24129	9614
256	24216	9517
257	24302	9419
258	24384	9320
259	24471	9223
260	24559	9127
261	24644	9030
262	24727	8931
263	24817	8836
264	24903	8739
265	24987	8642
266	25069	8544
267	25154	8447
268	25239	8350
269	25330	8255
270	25425	8162
271	25516	8067
272	25597	7970
273	25705	7880
274	25796	7785
275	25883	7690
276	25971	7594
277	26054	7497
278	26161	7407
279	26256	7314
280	26367	7225
281	26451	7128
282	26546	7035
283	26648	6943
284	26762	6854
285	26847	6758
286	26932	6662
287	27018	6566
288	27109	6472
289	27196	6377
290	27279	6280
291	27365	6185
292	27458	6091
293	27546	5996
294	27631	5900
295	27718	5805
296	27805	5710
297	27888	5615
298	27972	5519
299	28071	5427
300	28163	5333
301	28257	5239
302	28343	5144
303	28431	5050
304	28525	4956
305	28619	4863
306	28705	4768
307	28806	4676
308	28886	4580
309	28979	4487
310	29068	4392
311	29152	4298
312	29243	4204
313	29341	4111
314	29433	4017
315	29520	3923
316	29609	3829
317	29704	3736
318	29793	3642
319	29883	3548
320	29967	3454
321	30055	3360
322	30144	3266
323	30238	3173
324	30329	3079
325	30418	2985
326	30513	2892
327	30598	2798
328	30681	2704
329	30766	2610
330	30859	2517
331	30948	2423
332	31032	2329
333	31125	2236
334	31218	2143
335	31316	2050
336	31402	1956
337	31497	1863
338	31606	1771
339	31703	1678
340	31794	1585
341	31890	1491
342	31981	1398
343	32067	1305
344	32151	1211
345	32258	1118
346	32344	1025
347	32433	931
348	32556	839
349	32672	746
350	32765	653
351	32848	559
352	32949	466
353	33035	373
354	33118	279
355	33209	186
356	33296	93
357	33384	0
